original_language,runtime,popularity,vote_average,Num_genres,Num_keywords,Num_production_companies,Num_production_countries,Num_spoken_languages,Num_overview_words,Num_tagline_words,Num_Departments,Num_Cast,Num_Crew,Year,Month,Day,Is_profitable
4,90.0,25.159168,5.9,1,14,3,1,1,78,8,9,15,38,2005,12,21,1
4,154.0,52.341226,7.3,4,31,4,3,2,64,18,8,47,21,2003,12,5,1
4,150.0,101.599427,5.6,3,5,4,3,1,29,4,11,24,155,2014,12,3,1
4,127.0,73.616808,7.4,3,17,4,2,1,75,3,9,168,24,2009,5,6,1
4,121.0,82.502566,6.8,2,11,2,1,1,19,6,11,71,126,2002,5,1,1
4,102.0,100.21391,7.6,6,11,2,1,1,105,4,8,17,29,2014,6,12,1
4,127.0,56.257249,5.3,1,13,5,2,1,12,5,11,41,71,2016,2,25,1
4,121.0,17.88953,4.9,1,3,5,1,5,26,3,9,23,24,2005,7,28,0
4,163.0,64.798873,7.0,3,15,6,1,1,65,12,9,35,24,2009,3,5,1
4,127.0,24.855701,6.3,5,3,3,1,3,56,8,11,21,101,1998,7,10,1
4,138.0,34.981698,5.3,3,29,4,1,2,30,4,11,16,145,2003,6,19,1
4,110.0,59.325589,5.4,4,13,6,1,1,44,0,8,20,28,2013,3,26,1
4,124.0,21.605568,5.7,5,2,10,4,3,38,7,11,16,107,2005,4,6,0
4,106.0,26.074908,5.9,6,6,3,2,1,54,4,9,9,44,2001,7,2,0
4,124.0,74.506246,6.6,3,14,1,1,3,58,4,11,56,135,2011,7,22,1
4,128.0,39.604363,6.0,3,6,2,2,2,60,18,8,20,29,1999,11,8,1
4,138.0,36.973031,6.9,1,5,4,1,3,63,12,11,26,168,2003,11,14,1
4,115.0,99.687084,6.1,4,16,3,1,1,30,7,11,56,113,2012,11,13,1
4,100.0,17.7735,5.8,3,4,4,1,1,51,3,7,26,22,2011,11,17,1
4,114.0,62.898336,6.1,3,15,4,1,3,47,6,11,68,24,2008,6,12,1
4,120.0,44.19092,6.0,3,9,5,2,1,85,9,8,23,17,2016,6,1,1
4,156.0,100.635882,7.3,4,20,9,4,2,25,10,11,19,124,2015,12,25,1
4,96.0,44.765377,6.1,2,10,1,1,1,14,3,5,12,11,2013,7,11,1
4,107.0,29.91353,6.6,5,11,5,1,1,48,6,6,17,14,2011,3,2,1
4,92.0,84.366984,6.5,4,3,1,1,1,28,8,2,16,4,2014,11,22,1
4,115.0,45.381501,7.3,4,26,5,2,5,57,4,11,46,135,2007,8,3,1
4,90.0,84.689648,6.9,4,23,1,1,1,62,3,7,26,12,2008,6,4,1
4,117.0,120.09361,7.0,3,7,1,1,1,62,5,11,65,165,2015,7,14,1
4,146.0,76.310119,7.4,3,26,2,1,1,81,6,11,52,48,2013,11,15,1
4,94.0,63.473086,6.8,5,8,2,1,1,79,2,9,11,35,2015,3,18,1
4,116.0,48.572726,6.2,3,8,4,1,1,38,3,11,29,164,2005,6,28,1
4,147.0,38.068736,6.3,5,26,2,1,2,58,10,11,21,163,2003,7,18,1
4,90.0,20.678787,6.4,5,2,1,1,2,57,9,7,25,21,2011,10,28,1
4,100.0,48.829437,6.2,3,19,4,1,3,83,3,8,42,14,2010,7,21,1
4,139.0,46.115758,5.6,2,4,4,1,1,19,9,10,18,75,2014,3,20,1
4,107.0,89.938296,6.7,3,10,7,2,1,92,9,8,16,47,2011,10,25,1
4,141.0,79.679601,7.7,3,16,3,2,1,39,5,11,51,147,2004,5,31,1
4,165.0,28.840997,6.3,1,11,5,3,2,54,3,11,45,101,2008,11,18,0
4,100.0,42.840582,5.0,3,1,3,1,1,102,7,11,19,86,2013,5,30,1
4,82.0,26.548594,6.2,2,13,2,1,1,21,7,7,10,18,2000,5,19,1
4,97.0,115.597753,6.1,4,5,5,2,1,40,7,11,26,108,2014,12,17,1
4,95.0,68.757242,6.7,5,17,1,1,1,27,6,6,23,14,2010,10,28,1
